ProductId,Positivescore,NegativeScore,AVGrating,Rating
 B000BY93DU,3,2,4.5,5
 B000BY93DU,2,0,4.5,4
 B000AWGFW0,5,0,3.6,4
 B000AWGFW0,2,1,3.6,5
 B000AWGFW0,2,0,3.6,4
 B000AWGFW0,2,1,3.6,4
 B000AWGFW0,3,1,3.6,3
 B000AWGFW0,5,0,3.6,4
 B000AWGFW0,2,1,3.6,4
 B000AWGFW0,0,1,3.6,1
 B000NJY5F4,2,9,1.5,1
 B000NJY5F4,4,4,1.5,2
 B000LB6YO4,0,2,1,1
 B000MQJ1SO,4,0,5,5
 B000MQJ1S4,12,1,5,5
 B000AWGFWA,2,0,3.67,5
 B000AWGFWA,2,1,3.67,4
 B000AWGFWA,1,2,3.67,2
 B000NJY5G8,6,2,4.2,4
 B000NJY5G8,2,1,4.2,5
 B000NJY5G8,3,3,4.2,3
 B000NJY5G8,2,0,4.2,5
 B0006V4B3K,0,2,1,1
 B000F22F6A,3,1,4.62,5
 B000F22F6A,9,0,4.62,5
 B000F22F6A,7,0,4.62,5
 B000F22F6A,13,0,4.62,5
 B000F22F6A,6,0,4.62,5
 B000F22F6A,6,1,4.62,5
 B000F22F6A,1,0,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,2,3,4.62,2
 B000F22F6A,9,1,4.62,4
 B000F22F6A,2,0,4.62,5
 B000F22F6A,4,0,4.62,4
 B000F22F6A,1,2,4.62,2
 B000F22F6A,2,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,6,1,4.62,5
 B000F22F6A,3,3,4.62,4
 B000F22F6A,4,1,4.62,5
 B000F22F6A,0,2,4.62,2
 B000F22F6A,2,1,4.62,5
 B000F22F6A,7,2,4.62,5
 B000F22F6A,5,0,4.62,5
 B000F22F6A,5,3,4.62,5
 B000F22F6A,5,0,4.62,4
 B000F22F6A,4,0,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,5,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,o,o,o,o
